Año;Localidades;Proyecto;Categoria;Votos;Presupuesto;Ganador_bin
2017;Florida Oeste;BIBLIOTECA SOCIAL MARIANO MORENO (Soc. Fom Florida Sud) - Reparación de cubierta y de un baño;Cultura;225;266000;1
2017;Florida Oeste;SEMÁFORO Y SEÑALIZACIÓN - Desde Güemes y Posadas hasta Roca y Posadas (sendero escolar);Movilidad;206;597500;0
2017;Florida Oeste;ACER - Red CONIN - Rehabilitar y acondicionar un baño y construir una galería techada;Otros/Varios;197;440000;0
2017;Florida Oeste;JARDÍN MATERNAL MUNICIPAL Nº 5 - Ampliar el SUM y construir un espacio para la Dirección;Salud;196;890000;0
2017;Florida Oeste;CÁMARAS DE VIGILANCIA - Conectadas al Centro de Monitoreo Municipal (opción 2);Seguridad;188;1090000;0
2017;Florida Oeste;SEMÁFOROS VEHICULARES Y PEATONALES - Av. Mitre e Italia;Movilidad;172;549100;0
2017;Florida Oeste;"CTRO DE JUBILADOS ""AMOR Y AMISTAD"" - Obras varias en el ingreso al edificio";Reparaciones/Obra;170;210000;1
2017;Florida Oeste;JARDÍN DE INFANTES Nº 908 (provincial) - Trabajos de pintura y construcción de una salida de emergencia;Salud;148;305000;0
2017;Florida Oeste;ESC. SEC. BÁSICA Nº 17 (provincial) - Obras varias;Reparaciones/Obra;136;160000;0
2017;Florida Oeste;ESC. SEC. BÁSICA Nº 15 (provincial) - Construir una huerta y realizar el cerramiento del SUM;Medio Ambiente;95;100000;0
2017;Florida Oeste;CUIDEMOS EL AGUA - Talleres teatrales en escuelas del barrio;Cultura;48;280000;0
2017;Munro;BIBLIOTECA TECNOLÓGICA PÚBLICA - En Almafuerte al 4600 (etapa 1);Cultura;763;2000000;1
2017;Munro;CLUB UNIÓN DE MUNRO - Refacción de baños y vestuarios y adaptarlos para personas con discapacidad;Deporte;573;4275000;1
2017;Munro;ESCUELA PRIMARIA Nº 19 - Reparaciones en el frente y pintura externa;Educación;528;400000;1
2017;Munro;CÁMARAS DE VIGILANCIA - Conectadas al Centro de Monitoreo Municipal;Seguridad;471;804120;1
2017;Munro;ASOCIACIÓN CIVIL PELDAÑOS - Ampliación del sector de elaboración de masa de modelar ;Reparaciones/Obra;435;252000;1
2017;Munro;JARDÍN MATERNAL MUNICIPAL Nº 15 - Remodelar cambiadores de la sala de bebés y acondicionar un espacio para sala de psicomotricidad;Salud;416;189000;1
2017;Munro;CLUB SOCIAL Y DEPORTIVO INDUSTRIAL DE MUNRO - Mejorar iluminación de la cancha y de otros espacios interiores.;Seguridad;373;365000;1
