año;barrio;proyecto;categoria;votos;presupuesto;ganador_bin
2017;Munro;JARDÍN MATERNAL MUNICIPAL Nº 15 - Remodelar cambiadores de la sala de bebés y acondicionar un espacio para sala de psicomotricidad;Educación;416.0;189000.0;1
2017;Munro;CLUB SOCIAL Y DEPORTIVO INDUSTRIAL DE MUNRO - Mejorar iluminación de la cancha y de otros espacios interiores.;Seguridad;373.0;365000.0;1
2017;Munro;ESCUELA DE EDUCACIÓN TÉCNICA Nº 2 - Reparaciones varias, mobiliario y equipamiento tecnológico;Educación;354.0;2000000.0;0
2017;Munro;JARDÍN DE INFANTES MUNICIPAL Nº 3 - Aires acondicionados para el SUM y para 3 salas del 1º piso;Educación;324.0;168250.0;1
2017;Munro;ESCUELA PRIMARIA Nº 10 - Refacciones interiores y pintura del patio;Educación;268.0;870000.0;0
2017;Munro;MÁS ÁRBOLES - En espacios públicos del barrio;Otros/Varios;227.0;200000.0;0
2017;Munro;ESCUELA SECUNDARIA Nº 5 - Instalar una reja en la puerta lateral, mejorar iluminación en 2 locales y adquirir equipamiento;Educación;225.0;1000000.0;0
2017;Munro;JARDÍN MATERNAL MUNICIPAL Nº 4 - Construir una superficie semicubierta;Educación;192.0;185000.0;0
2017;Munro;CENTRO DE FORMACIÓN PROFESIONAL Nº 402 e ISFT Nº 220 - Aire acondicionado para el Salón de Usos Múltiples del 1º piso;Otros/Varios;191.0;50000.0;1
2017;Munro;SEMÁFOROS VEHICULARES Y PEATONALES - Av. Mitre y Paraná, Ader y Neuquén, R. Gutiérrez y Ávalos;Espacio Público;135.0;1140600.0;0
2017;Munro;JARDÍN DE INFANTES MUNICIPAL Nº 2 - Colocar piso antigolpes y toldo para el patio;Educación;131.0;175000.0;0
2017;Munro;RAMPAS EN ESQUINAS - Pasaje Terragno y Maquinista Carregal ;Otros/Varios;118.0;83000.0;0
2017;Munro;BARRIO SÍVORI - Mejoras en algunas veredas y pintura de algunos frentes;Espacio Público;100.0;1000000.0;0
2017;Munro;ALIMENTACIÓN SALUDABLE - Talleres en escuelas del barrio;Educación;95.0;320000.0;0
2017;Munro;REDUCIDORES DE VELOCIDAD - Acassuso desde Mitre hasta Echeverría, Panamá y Acassuso, R. Castro y Coquimbo;Otros/Varios;91.0;135000.0;0
2017;Munro;CUIDEMOS EL AGUA - Talleres teatrales en escuelas del barrio;Educación;70.0;320000.0;0
2017;Munro;CENTRO BARRIAL DE JUVENTUD - Equipamiento para la sede de Sgto. Cabral y R. Gutiérrez;Otros/Varios;63.0;115000.0;0
2017;Munro;CENTRO BARRIAL DE JUVENTUD - Modificaciones en el Salón de Usos Múltiples de la sede;Otros/Varios;43.0;1500000.0;0
2017;Munro;ESCUELA SECUNDARIA BÁSICA Nº 5 - Refaccionar el baño de docentes y construir un invernadero;Educación;41.0;435000.0;0
2017;Carapachay;BOMBEROS VOLUNTARIOS DE VL - Equipo para corte y rescate vehicular ;Otros/Varios;800.0;937000.0;1
2017;Carapachay;ESCUELA SECUNDARIA Nº 3 - Obras varias y provisión de equipamiento;Educación;788.0;2000000.0;1
2017;Carapachay;CAMARAS DE VIGILANCIA - Conectadas al Centro de Monitoreo Municipal;Seguridad;597.0;620142.0;1
2017;Carapachay;ESCUELA PRIMARIA Nº 18 - Puesta en valor del Salón de Actos;Educación;489.0;1000000.0;1
2017;Carapachay;"CTRO DE JUB ""UNIÓN FRATERNAL DE CARAPACHAY"" - 100 sillas plásticas apilables y reforzadas";Otros/Varios;238.0;50000.0;1
2017;Carapachay;SEMÁFOROS PEATONALES - Independencia e Ituzaingó;Espacio Público;217.0;245300.0;1
2017;Carapachay;JUNTA VECINAL MANUEL BELGRANO - Obras varias de reparación del edificio;Otros/Varios;209.0;935000.0;1
2017;Carapachay;ALIMENTACIÓN SALUDABLE -Talleres en escuelas del barrio referidos a buenos hábitos alimenticios;Educación;98.0;180000.0;1
2017;Carapachay;CUIDEMOS EL AGUA - Talleres teatrales en escuelas del barrio referidos al uso responsable del agua;Educación;97.0;180000.0;0
2017;Villa Adelina;ESC EDUCACIÓN TÉCNICA Nº 1 - Sistema contra incendio para laboratorio y equipamiento;Educación;805.0;2000000.0;1
2017;Villa Adelina;CLUB SOCIEDADES UNIDAS DE VILLA ADELINA (SUVA) - Refacción y ampliación del SUM (Etapa 1);Deporte;743.0;5500000.0;0
2017;Villa Adelina;AVAPEA - PLAZA ADER - Etapa 2 del SUM: construcción de baños, iluminación y obras varias;Seguridad;555.0;1700000.0;1
2017;Villa Adelina;JARDÍN DE INFANTES MUNICIPAL Nº 7 - Equipos de sonido para el SUM y para las aulas, proyector y horno para cerámica ;Educación;369.0;98246.0;1
2017;Villa Adelina;POLIDEPORTIVO DE VILLA ADELINA - Equipamiento para actividades deportivas y provisión de computadoras;Educación;267.0;197250.0;1
2017;Villa Adelina;CÁMARAS DE VIGILANCIA URBANA conectadas al Centro de Monitoreo Municipal;Seguridad;254.0;801659.0;1
2017;Villa Adelina;PLAZA EDUARDO ADER - Reparación de veredas y corte de raíces sobre calle Sgo. del Estero;Espacio Público;249.0;500000.0;1
